
Summary 10.0

Delay	24,150529428173023	231,0028269317392	24,18312582225397	231,37144595219317	24,35782029672379	231,21819850957064	23,9555918082616	231,09573226033027	22,20060566835642	231,0802514176
DC Energy	1,332456501428578E7	1,3641765771428782E7	1,3327346114285903E7	1,4170686673214793E7	1,3332908314286109E7	1,439589487321497E7	1,3344032714286517E7	1,442194160228698E7	1,3366281514287367E7	1,4450864321430052E7
Mobile Energy	3491978,8541999697	3493054,154875022	6983645,945899969	6986042,6977412775	1,3970330122979943E7	1,3967696238218775E7	2,7929430871199876E7	2,7931936162474025E7	5,577408555279995E7	5,582053368582761E7
Edge Energy	834332,9999999987	834332,9999999987	1668665,9999999974	1668665,9999999974	3337331,999999995	3337331,999999995	6674663,999999991	6674663,999999991	1,3349327999999978E7	1,3349327999999978E7
Execution Time	332,0	588,0	757,0	1544,0	1688,0	4296,0	3657,0	13616,0	9531,0	47118,0
Network Usage	5305,2	38619,7	9620,4	77209,65	18250,8	152888,05	35511,6	304698,85	70033,2	609185,5


Summary 5.0

Delay	34,75604359368722	225,6998253262155	33,9390895449427	226,0948135462271	33,95572192568406	226,10721936561276	34,147880585843765	226,34455014494725	34,02753938175725	228,28211062205892
DC Energy	1,3324315614285782E7	1,3922717968214666E7	1,3332630535714664E7	1,4404360277715227E7	1,3365180757144557E7	1,4411351135786392E7	1,348919511429255E7	1,4452870021501692E7	1,3922689392882526E7	1,44669383999998E7
Mobile Energy	3489821,5544100422	3494409,7300375323	6978393,508730082	6989328,094231322	1,3956824205000173E7	1,3986969187915223E7	2,7918653600420382E7	2,7975115389339123E7	5,584147683722076E7	5,595346256792463E7
Edge Energy	1073242,8091900032	834332,9999999987	2146257,3189450065	1668665,9999999974	4292730,984475022	3337331,999999995	8585408,18112503	6674663,999999991	1,7170268921720054E7	1,3349327999999978E7
Execution Time	693,0	998,0	1932,0	2815,0	5203,0	8366,0	16921,0	26880,0	68499,0	95695,0
Network Usage	6671,9	76419,25	21116,0	152532,6	73023,0	305186,4	264211,25	609462,7	922861,0	1217198,0
