
Summary 10.0

Delay	23,737580490555537	231,23521437767323	24,286715721866074	231,33344285408927	24,111829106410774	231,18234377072426	23,772051146268833	903,3048400667835	22,05819553092327	4052,128170970352
DC Energy	1,332455921428585E7	1,37117097321431E7	1,3327340314285936E7	1,4158811225000383E7	1,3332902514286151E7	1,4388138875000473E7	1,3344026914286556E7	1,44082991343855E7	1,3366275714287408E7	1,4461867957148766E7
Mobile Energy	3490063,293779984	3496717,6791937635	6983289,279419976	6995754,831303791	1,3966656099899927E7	1,3990168079218825E7	2,7927961937919892E7	2,7951897774918053E7	5,576533813329994E7	5,592592411102504E7
Edge Energy	834332,9999999987	834332,9999999987	1668665,9999999974	1668665,9999999974	3337331,999999995	3337331,999999995	6674663,999999991	6674663,999999991	1,3349327999999978E7	1,3349327999999978E7
Execution Time	275,0	351,0	559,0	822,0	1160,0	2659,0	4364,0	11950,0	6586,0	20173,0
Network Usage	5305,2	39832,8	9620,4	82698,05	18250,8	181963,45	35511,6	412618,7	70033,2	706578,15


Summary 5.0

Delay	31,97531766023216	225,89552713840246	32,279843791438026	226,0508736335263	32,19737711212489	226,18001607977308	32,51024519912164	2993,4148283607797	32,691860623519794	4580,415349901623
DC Energy	1,3324315614285782E7	1,4030679178571757E7	1,3327096714285936E7	1,4411798317857858E7	1,3332658914286092E7	1,4425835144358134E7	1,334378331428655E7	1,4441914751595857E7	1,3366032114287416E7	1,446733870357017E7
Mobile Energy	3497125,6280600335	3497675,7858000407	6992501,85366007	6998057,028760155	1,398622372942014E7	1,399558091946769E7	2,7972667428280324E7	2,7977617310780127E7	5,594330135066063E7	5,596070448823067E7
Edge Energy	1073146,1618600106	834332,9999999987	2146220,6066200137	1668665,9999999974	4292498,586920036	3337331,999999995	8585316,31493505	6674663,999999991	1,717092891711591E7	1,3349327999999978E7
Execution Time	494,0	597,0	1017,0	1584,0	2656,0	5318,0	5653,0	13807,0	15125,0	34723,0
Network Usage	8800,4	78954,0	16630,65	165647,15	32269,4	363050,2	63567,15	707314,85	126232,95	1295197,05

